           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           -5.434           -5.434            -4.94      0.022991389    -0.0046717636       0.01748185    0.00048376317   -0.00014714638     -0.032996718
            -4.94           -5.434            -4.94       0.02409224    -0.0042706993      0.018769903    0.00050418335     0.0017796082     -0.033846203
           -4.446           -5.434            -4.94      0.024945928    -0.0038634518      0.020607783    0.00053229398     0.0044792332     -0.034959655
           -3.952           -5.434            -4.94      0.025367765    -0.0034453997       0.02340634    0.00057384168     0.0085292459     -0.036534321
           -3.458           -5.434            -4.94      0.025109196    -0.0030230056      0.026399264    0.00061446527         0.012714     -0.037946571
           -2.964           -5.434            -4.94      0.024399674    -0.0025977336      0.029521011    0.00065447629       0.01698806     -0.039251179
            -2.47           -5.434            -4.94      0.022343922    -0.0021686854      0.032610107    0.00068883796      0.021066988     -0.040296756
           -1.976           -5.434            -4.94      0.019889478    -0.0017386263      0.035646331    0.00072132004       0.02504001     -0.041266691
           -1.482           -5.434            -4.94      0.015738109    -0.0013051096      0.038117699    0.00074417877      0.028183797     -0.041923068
           -0.988           -5.434            -4.94      0.011301684   -0.00087136694      0.040390439    0.00076493202       0.03106365     -0.042510297
           -0.494           -5.434            -4.94     0.0058572595   -0.00043623481      0.041763425    0.00077597622      0.032778099     -0.042826891
    8.8817842e-16           -5.434            -4.94   -4.2883403e-07   -8.6031196e-07      0.042235233    0.00078062742      0.033363145     -0.042933378
            0.494           -5.434            -4.94     -0.005856635    0.00043633161      0.041766539    0.00077822059      0.032783005     -0.042825527
            0.988           -5.434            -4.94     -0.011300535    0.00087166869      0.040391002    0.00076438702      0.031063134     -0.042510439
            1.482           -5.434            -4.94     -0.015737647     0.0013050754      0.038117439    0.00074411795      0.028183162     -0.041923568
            1.976           -5.434            -4.94     -0.019889101     0.0017388032      0.035646308    0.00072130765       0.02504003     -0.041266549
             2.47           -5.434            -4.94     -0.022343649     0.0021688368      0.032610096    0.00068881328      0.021067001     -0.040296491
            2.964           -5.434            -4.94     -0.024399498      0.002597831      0.029521007    0.00065443193      0.016988009     -0.039250854
            3.458           -5.434            -4.94     -0.025109099     0.0030230028      0.026399337    0.00061438855      0.012713885     -0.037946314
            3.952           -5.434            -4.94      -0.02536769     0.0034452926      0.023406465    0.00057371549     0.0085290605     -0.036534093
            4.446           -5.434            -4.94     -0.024945792     0.0038632345       0.02060792    0.00053209235     0.0044789743     -0.034959409
             4.94           -5.434            -4.94     -0.024092339     0.0042704712      0.018770009    0.00050395878     0.0017792148     -0.033845916
            5.434           -5.434            -4.94     -0.022991892     0.0046715802      0.017481901    0.00048354571   -0.00014770892     -0.032996379
           -5.434            -4.94            -4.94      0.024626996    -0.0047117025      0.017851574     0.0010251125     0.0014099994     -0.033550356
            -4.94            -4.94            -4.94      0.025962742    -0.0043032486      0.019317569     0.0010535658     0.0035238571     -0.034409974
           -4.446            -4.94            -4.94      0.027047167    -0.0038897316      0.021431059     0.0010919409     0.0064997426     -0.035536602
           -3.952            -4.94            -4.94      0.027692473    -0.0034673682       0.02467588      0.001147652      0.010981794     -0.037129752
           -3.458            -4.94            -4.94      0.027601007    -0.0030413992      0.028220439     0.0011999098      0.015661484      -0.03855826
           -2.964            -4.94            -4.94      0.027021231    -0.0026130409      0.031963661     0.0012498788      0.020472165     -0.039877642
            -2.47            -4.94            -4.94      0.024911221    -0.0021811381      0.035770115     0.0012906608      0.025129551     -0.040934559
           -1.976            -4.94            -4.94      0.022341445    -0.0017483075      0.039537594     0.0013286897       0.02968335     -0.041914839
           -1.482            -4.94            -4.94       0.01776303    -0.0013124846      0.042685322     0.0013547473      0.033338573     -0.042577561
           -0.988            -4.94            -4.94      0.012835681   -0.00087637384      0.045593392     0.0013780229      0.036695521     -0.043170553
           -0.494            -4.94            -4.94      0.006673059   -0.00043857354      0.047381517     0.0013918474      0.038713261     -0.043490507
    8.8817842e-16            -4.94            -4.94   -6.2010804e-07    -8.554066e-07      0.047997635     0.0013939869      0.039403282     -0.043597363
            0.494            -4.94            -4.94    -0.0066728061    0.00043873329      0.047384184     0.0013899239       0.03871825     -0.043490201
            0.988            -4.94            -4.94     -0.012834861    0.00087650795       0.04559356     0.0013776525      0.036695503      -0.04317072
            1.482            -4.94            -4.94      -0.01776273     0.0013122697      0.042685051     0.0013543796      0.033338442     -0.042578071
            1.976            -4.94            -4.94      -0.02234133     0.0017483404      0.039537754     0.0013287002      0.029683374     -0.041914858
             2.47            -4.94            -4.94      -0.02491108     0.0021811412      0.035770278     0.0012906163      0.025129583     -0.040934432
            2.964            -4.94            -4.94      -0.02702106     0.0026130138      0.031963799     0.0012497688       0.02047218     -0.039877426
            3.458            -4.94            -4.94     -0.027600899     0.0030414599      0.028220572     0.0011998655      0.015661415     -0.038558044
            3.952            -4.94            -4.94     -0.027692359     0.0034674478       0.02467601     0.0011476274      0.010981668     -0.037129529
            4.446            -4.94            -4.94     -0.027046945     0.0038897269      0.021431196     0.0010918664     0.0064995992     -0.035536341
             4.94            -4.94            -4.94     -0.025962684     0.0043031573      0.019317713     0.0010534502     0.0035236184     -0.034409672
            5.434            -4.94            -4.94     -0.024627261     0.0047115237      0.017851721      0.001024961     0.0014096203     -0.033550005
           -5.434           -4.446            -4.94      0.026941434    -0.0047620372      0.017963722     0.0015640357     0.0035558389     -0.034254521
            -4.94           -4.446            -4.94      0.028633812    -0.0043442696      0.019599469     0.0015996282       0.00594192     -0.035127055
           -4.446           -4.446            -4.94      0.030074518    -0.0039228825      0.021981722      0.001646979     0.0093228901     -0.036270443
           -3.952           -4.446            -4.94      0.031075494    -0.0034951703      0.025668299     0.0017148743      0.014442166     -0.037887082
           -3.458           -4.446            -4.94      0.031265773    -0.0030647265      0.029779371      0.001776836      0.019863522     -0.039336149
           -2.964           -4.446            -4.94      0.030918738     -0.002632472      0.034171786     0.0018348651      0.025485089     -0.040674157
            -2.47           -4.446            -4.94      0.028770063    -0.0021971061      0.038758207     0.0018807462      0.031035066     -0.041745145
           -1.976           -4.446            -4.94      0.026068952     -0.001760927      0.043328028     0.0019231488      0.036489703     -0.042738207
           -1.482           -4.446            -4.94      0.020868134    -0.0013221379      0.047244705     0.0019516808      0.040955372     -0.043408673
           -0.988           -4.446            -4.94      0.015212708   -0.00088293542      0.050879844     0.0019769187      0.045071062     -0.044008564
           -0.494           -4.446            -4.94     0.0079437364   -0.00044171428      0.053154748      0.001992489      0.047578014      -0.04433224
    8.8817842e-16           -4.446            -4.94   -7.8423182e-07   -7.3301862e-07      0.053940985     0.0019930056      0.048438523     -0.044439711
            0.494           -4.446            -4.94     -0.007943878    0.00044182007      0.053156346     0.0019876792       0.04758282     -0.044333063
