           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           -5.764           -5.764           -4.978      -0.15947907      0.061818182     -0.049083672       0.07818336      -0.17575723        0.1265502
            -5.24           -5.764           -4.978      -0.17086017      0.057575446     -0.058817368      0.086920112      -0.17982629       0.12143765
           -4.716           -5.764           -4.978      -0.17605688      0.051465657      -0.07725431      0.099953286      -0.18300775       0.11118338
           -4.192           -5.764           -4.978      -0.17795651      0.044360477      -0.10033123       0.11527702      -0.18571599      0.098187894
           -3.668           -5.764           -4.978      -0.17214553      0.037137579      -0.12924138       0.12645473      -0.18492071      0.085139416
           -3.144           -5.764           -4.978      -0.16445325      0.029978115      -0.15910372       0.13658693      -0.18388017      0.072682247
            -2.62           -5.764           -4.978      -0.14823852      0.023927677      -0.18907981       0.14168066      -0.18716328      0.068291098
           -2.096           -5.764           -4.978      -0.12928754      0.018519217      -0.21671467       0.14522059      -0.19171011      0.067106448
           -1.572           -5.764           -4.978      -0.10321961       0.01478052      -0.23826009       0.14471918      -0.19954386      0.074261844
           -1.048           -5.764           -4.978     -0.074073248      0.010676784      -0.25585306       0.14279804      -0.20894642      0.084133707
           -0.524           -5.764           -4.978     -0.038641132      0.005647419      -0.26601967       0.13943474       -0.2148129      0.094866537
                0           -5.764           -4.978   -0.00051713671    3.5557969e-07      -0.26940995       0.13806362      -0.21730466      0.099180304
            0.524           -5.764           -4.978      0.037567053    -0.0056229308      -0.26609686       0.13946228      -0.21487592      0.094718568
            1.048           -5.764           -4.978      0.073081419     -0.010665948      -0.25652534       0.14275172      -0.20797379      0.084102392
            1.572           -5.764           -4.978       0.10223182     -0.014754152      -0.23845066       0.14472772      -0.19973761       0.07419318
            2.096           -5.764           -4.978        0.1283486     -0.018506275      -0.21700807       0.14528087      -0.19192742      0.067013547
             2.62           -5.764           -4.978       0.14734818     -0.023931574      -0.18942052       0.14177597      -0.18744434       0.06818413
            3.144           -5.764           -4.978        0.1636114     -0.030000161      -0.15947039       0.13671085      -0.18424043      0.072565123
            3.668           -5.764           -4.978       0.17139164     -0.037200358      -0.12958792        0.1265935       -0.1853867      0.085003741
            4.192           -5.764           -4.978       0.17728935       -0.0444616      -0.10064671       0.11542428      -0.18628846      0.098036826
            4.716           -5.764           -4.978        0.1754507     -0.051579986     -0.077492297       0.10007605      -0.18367933       0.11104044
             5.24           -5.764           -4.978       0.17031729     -0.057712592     -0.058988042      0.087018311      -0.18057574       0.12130322
            5.764           -5.764           -4.978        0.1590039     -0.061996166     -0.049206141      0.078256838      -0.17654476       0.12642503
           -5.764            -5.24           -4.978      -0.17564583      0.071529686     -0.049301684      0.066794455      -0.17621863        0.1246703
            -5.24            -5.24           -4.978      -0.18942499       0.06581223     -0.058609001      0.073329724      -0.18138632       0.12088434
           -4.716            -5.24           -4.978      -0.19628039      0.058269877     -0.076709569      0.082986563      -0.18558247       0.11224176
           -4.192            -5.24           -4.978      -0.19944455      0.049754612     -0.099498101      0.094307609      -0.18926068       0.10100996
           -3.668            -5.24           -4.978      -0.19383867      0.041346289       -0.1299209       0.10209332      -0.18878706      0.088436916
           -3.144            -5.24           -4.978      -0.18608359      0.033059251      -0.16170852       0.10901073      -0.18804324      0.076239534
            -2.62            -5.24           -4.978      -0.16850853       0.02617038       -0.1952399       0.11194385      -0.19269845      0.072011419
           -2.096            -5.24           -4.978      -0.14767155      0.020028573      -0.22626068       0.11367916      -0.19882372       0.07130263
