           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
          -9.9495          -9.9495          -4.7905       0.25344557      -0.55322075      -0.20708945       -1.0124891       0.38385788         1.769272
          -9.2125          -9.9495          -4.7905       0.31549343      -0.58356005      -0.15182622       -1.0835024       0.32718503        1.8124653
          -8.4755          -9.9495          -4.7905       0.37640142      -0.60779405      -0.03966637       -1.2165525       0.22421882        1.8855573
          -7.7385          -9.9495          -4.7905       0.43254501      -0.62434375      0.096911222       -1.3626238       0.11676209        1.9536185
          -7.0015          -9.9495          -4.7905       0.48010069      -0.63129616       0.24904945       -1.5094981      0.015461624        2.0086231
          -6.2645          -9.9495          -4.7905       0.51462585      -0.62634444        0.4141123       -1.6550819     -0.077817313        2.0501747
          -5.5275          -9.9495          -4.7905       0.52880561      -0.60530585       0.58743823       -1.7954746      -0.16033486        2.0772226
          -4.7905          -9.9495          -4.7905       0.51834446      -0.56615049       0.76006109       -1.9256723      -0.23088738        2.0911198
          -4.0535          -9.9495          -4.7905       0.48361474      -0.50985479       0.92272669       -2.0419216      -0.29020849        2.0951922
          -3.3165          -9.9495          -4.7905       0.42669478      -0.43811965        1.0679396       -2.1412153      -0.33881086        2.0923281
          -2.5795          -9.9495          -4.7905       0.35095295      -0.35327873         1.189941       -2.2215555      -0.37710077        2.0852437
          -1.8425          -9.9495          -4.7905       0.26027831      -0.25794736        1.2828088       -2.2807915      -0.40491611        2.0768023
          -1.1055          -9.9495          -4.7905       0.16013312      -0.15585208        1.3468651       -2.3206215      -0.42344421        2.0693986
          -0.3685          -9.9495          -4.7905      0.054012313     -0.049452659         1.377544       -2.3391862      -0.43191835        2.0652406
           0.3685          -9.9495          -4.7905     -0.053705096      0.058084764        1.3778327        -2.338897      -0.43151757        2.0650167
           1.1055          -9.9495          -4.7905      -0.15966217       0.16430314        1.3454611       -2.3183794      -0.42159942        2.0690367
           1.8425          -9.9495          -4.7905      -0.26007882       0.26645979        1.2820901       -2.2781672      -0.40244773        2.0761952
           2.5795          -9.9495          -4.7905      -0.35049051       0.36143765        1.1883762       -2.2176495      -0.37367269        2.0846162
           3.3165          -9.9495          -4.7905      -0.42653897       0.44628134        1.0667986       -2.1370578      -0.33503318        2.0919166
           4.0535          -9.9495          -4.7905      -0.48320466       0.51762223       0.92142576       -2.0371778      -0.28597927        2.0950658
           4.7905          -9.9495          -4.7905      -0.51796955       0.57371557       0.75899619       -1.9208291      -0.22651264        2.0915115
           5.5275          -9.9495          -4.7905      -0.52830553       0.61255652       0.58660805       -1.7906412      -0.15590183        2.0782177
           6.2645          -9.9495          -4.7905       -0.5139221       0.63326216       0.41356206       -1.6504046     -0.073355816        2.0518191
           7.0015          -9.9495          -4.7905      -0.47915292       0.63784885        0.2488015        -1.505096      0.019956362        2.0109162
           7.7385          -9.9495          -4.7905       -0.4313274        0.6305033      0.096966095       -1.3585668       0.12132975        1.9565167
           8.4755          -9.9495          -4.7905      -0.37490556       0.61353618      -0.03931684       -1.2128896       0.22891384        1.8889931
           9.2125          -9.9495          -4.7905      -0.31372595       0.58886361      -0.15121666       -1.0802324        0.3320469        1.8163296
           9.9495          -9.9495          -4.7905      -0.25142458       0.55806708      -0.20634559       -1.0094371       0.38882792          1.77334
          -9.9495          -9.2125          -4.7905       0.28870997       -0.5824942      -0.14229074       -1.1304387       0.30592135        1.8034918
          -9.2125          -9.2125          -4.7905       0.35890213      -0.61716098     -0.073601738       -1.2093465       0.24770142        1.8442224
          -8.4755          -9.2125          -4.7905       0.42876983      -0.64604968      0.066435747        -1.357949       0.14267957         1.912256
          -7.7385          -9.2125          -4.7905        0.4940908      -0.66724354       0.23821196       -1.5223897       0.03443867        1.9739538
          -7.0015          -9.2125          -4.7905       0.55026233      -0.67840356       0.43117082       -1.6892415     -0.065842792        2.0215213
          -6.2645          -9.2125          -4.7905       0.59181505      -0.67666823       0.64231694       -1.8561287      -0.15616089        2.0545225
          -5.5275          -9.2125          -4.7905       0.60964489      -0.65688986       0.86582559       -2.0183661      -0.23373322        2.0719507
          -4.7905          -9.2125          -4.7905       0.59819096      -0.61638784        1.0893785       -2.1693716      -0.29797944        2.0756478
          -4.0535          -9.2125          -4.7905         0.557818      -0.55613911        1.2998881        -2.303803      -0.35064727        2.0696485
