           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           -1.179           -1.703           -1.703     -0.016627815       0.05585048       -0.4336808     0.0073010973       -0.4768039     0.0084220124
           -0.917           -1.703           -1.703       0.15456209      0.054976244      -0.42156601     0.0057938918      -0.46168172     0.0067741759
           -0.655           -1.703           -1.703        0.3639282      0.054367714      -0.36077923     0.0035509984      -0.39284152     0.0042594238
           -0.393           -1.703           -1.703       0.55509025      0.053980131      -0.25107828      0.001786466      -0.27216896     0.0022106529
           -0.131           -1.703           -1.703        0.7104404      0.053783938     -0.097178787    0.00050197903      -0.10489821    0.00064736034
            0.131           -1.703           -1.703       0.71043682      0.053780925      0.097174354   -0.00050396193       0.10489072   -0.00064973178
            0.393           -1.703           -1.703        0.5550912       0.05398079         0.251075     -0.001781479       0.27216578    -0.0022100003
            0.655           -1.703           -1.703       0.36392963      0.054369599       0.36077976    -0.0035505621       0.39284208    -0.0042591179
            0.917           -1.703           -1.703       0.15456086      0.054975487        0.4215647    -0.0057951561       0.46168229     -0.006773537
            1.179           -1.703           -1.703     -0.016631126      0.055848297       0.43367904    -0.0073033012       0.47680476    -0.0084215403
           -1.179           -1.441           -1.703     -0.039025079      0.053077608      -0.51903373     0.0077023925      -0.56296182     0.0088510541
           -0.917           -1.441           -1.703       0.15407118      0.053137064      -0.51408964     0.0061420714       -0.5505985     0.0071995035
           -0.655           -1.441           -1.703        0.4051812       0.05306932      -0.45387027     0.0037888691      -0.47656524     0.0046295775
           -0.393           -1.441           -1.703       0.64329958      0.053030051      -0.32396358     0.0019136386      -0.33490741     0.0024671229
           -0.131           -1.441           -1.703       0.84328324      0.053026393      -0.12902722    0.00053310499        -0.131218    0.00074644684
            0.131           -1.441           -1.703       0.84328353      0.053026594       0.12902229   -0.00052716734       0.13121176   -0.00074759434
            0.393           -1.441           -1.703       0.64329958      0.053029798       0.32395887    -0.0019085028        0.3349058    -0.0024671063
            0.655           -1.441           -1.703       0.40518257       0.05307005       0.45386994    -0.0037870083       0.47656548    -0.0046303929
            0.917           -1.441           -1.703       0.15407115       0.05313563       0.51408881    -0.0061414344       0.55059904    -0.0071993805
            1.179           -1.441           -1.703     -0.039026245      0.053076882        0.5190329    -0.0077019599       0.56296206     -0.008850907
           -1.179           -1.179           -1.703     -0.092129983      0.048545111      -0.58121949     0.0066748857      -0.74026352      0.009554089
           -0.917           -1.179           -1.703       0.14011765      0.050066222      -0.58933342     0.0053267251      -0.73737979     0.0079166051
           -0.655           -1.179           -1.703       0.47784698      0.050869506      -0.54185206     0.0032863347      -0.65893692     0.0052689826
           -0.393           -1.179           -1.703       0.82259035      0.051397037      -0.39952993     0.0016577195      -0.47539309     0.0029171219
           -0.131           -1.179           -1.703        1.1300343      0.051708497      -0.16534244    0.00046297151      -0.19215028    0.00091939582
            0.131           -1.179           -1.703        1.1300375      0.051712651       0.16534491   -0.00045648165       0.19214489   -0.00092259771
            0.393           -1.179           -1.703       0.82259119      0.051395789       0.39953619    -0.0016525533       0.47539017    -0.0029178937
            0.655           -1.179           -1.703       0.47784835      0.050869081       0.54185307    -0.0032867831        0.6589365    -0.0052712243
            0.917           -1.179           -1.703       0.14011952      0.050065108       0.58933389    -0.0053272578       0.73737979    -0.0079182843
            1.179           -1.179           -1.703     -0.092129514      0.048546541        0.5812189    -0.0066748005       0.74026304    -0.0095553827
           -1.179           -0.917           -1.703      -0.16309488      0.044223588      -0.59672099     0.0049923123      -0.95321745      0.010219644
           -0.917           -0.917           -1.703        0.1087746      0.047072135      -0.61985439     0.0039762636       -0.9665398     0.0086164558
           -0.655           -0.917           -1.703        0.5501923      0.048689563      -0.59489375     0.0024405275      -0.89164788     0.0059068711
           -0.393           -0.917           -1.703        1.0364753      0.049742259      -0.45361191     0.0012240822      -0.66009057     0.0033737065
           -0.131           -0.917           -1.703        1.4958117      0.050348286      -0.19565386    0.00034761353      -0.27544895     0.0010956477
            0.131           -0.917           -1.703        1.4958403      0.050365731       0.19565374   -0.00033733709        0.2754617    -0.0010926662
            0.393           -0.917           -1.703        1.0364765      0.049745437       0.45361698    -0.0012183047       0.66010153    -0.0033700336
            0.655           -0.917           -1.703       0.55019379      0.048684072       0.59489512    -0.0024410975       0.89164823    -0.0059114858
            0.917           -0.917           -1.703       0.10877953      0.047072664       0.61985517     -0.003975926       0.96654409    -0.0086218268
            1.179           -0.917           -1.703      -0.16309147      0.044224977       0.59672159    -0.0049923798       0.95321834     -0.010227611
           -1.179           -0.655           -1.703      -0.24797484       0.04076032      -0.55289197     0.0029077532       -1.1841148      0.010747684
           -0.917           -0.655           -1.703      0.058311433      0.044579543      -0.59087658     0.0022945199       -1.2205945     0.0092000403
