           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           -1.179           -1.703           -1.703      0.084927298       0.13693933      -0.35061407     -0.021877881      -0.39341667     -0.022300333
           -0.917           -1.703           -1.703       0.19856459        0.1158886      -0.34965998     -0.014242395       -0.3873595     -0.014356316
           -0.655           -1.703           -1.703       0.32811552      0.098358884      -0.30413982    -0.0091579556      -0.33402711    -0.0091394708
           -0.393           -1.703           -1.703       0.44534257      0.085488625      -0.20959911    -0.0052358899      -0.22893499    -0.0051868092
           -0.131           -1.703           -1.703       0.51613837      0.078624412     -0.075108752    -0.0017205125     -0.081816941    -0.0017026719
            0.131           -1.703           -1.703       0.51614058      0.078625388      0.075105943     0.0017157218      0.081813671     0.0016930751
            0.393           -1.703           -1.703       0.44534966      0.085491098       0.20959701     0.0052328724       0.22893715     0.0051853587
            0.655           -1.703           -1.703       0.32811645       0.09835501       0.30413917     0.0091562197       0.33402786     0.0091380989
            0.917           -1.703           -1.703       0.19856369       0.11589011       0.34965634       0.01424244        0.3873612      0.014356377
            1.179           -1.703           -1.703      0.084922619        0.1369279       0.35060835      0.021872183       0.39341742      0.022298932
           -1.179           -1.441           -1.703      0.054744612       0.14664294      -0.39594793     -0.010042296      -0.52731401     -0.027544254
           -0.917           -1.441           -1.703       0.21088725        0.1220694      -0.40956739    -0.0046553276      -0.53353715     -0.021334991
           -0.655           -1.441           -1.703       0.39562786       0.10255116      -0.36803359    -0.0018907863      -0.47195145      -0.01595786
           -0.393           -1.441           -1.703       0.56900263      0.088680953       -0.2601487    -0.0006408823      -0.33022255     -0.010086986
           -0.131           -1.441           -1.703       0.67652148      0.081423558      -0.09455736   -0.00014147814      -0.11941879    -0.0034729422
            0.131           -1.441           -1.703       0.67652303      0.081421219      0.094556078    0.00014646068       0.11942655     0.0034712874
            0.393           -1.441           -1.703       0.56900257      0.088682398       0.26014245    0.00064049783       0.33022594      0.010088847
            0.655           -1.441           -1.703       0.39562619       0.10255159       0.36802971     0.0018889776       0.47195345      0.015956961
            0.917           -1.441           -1.703       0.21088138       0.12206849       0.40956458     0.0046521774        0.5335353      0.021333892
            1.179           -1.441           -1.703      0.054751411       0.14664525       0.39594918      0.010044487       0.52731651      0.027544934
           -1.179           -1.179           -1.703      0.007953031       0.15366842      -0.42667016    0.00091686577      -0.69911933     -0.030547651
           -0.917           -1.179           -1.703       0.21445768       0.12575728      -0.45752022     0.0034308676      -0.72945309     -0.026931465
           -0.655           -1.179           -1.703       0.47155979       0.10412046      -0.42520609     0.0037594403      -0.66519988     -0.021864682
           -0.393           -1.179           -1.703       0.72468376      0.089015871      -0.30889341       0.00272461      -0.47752726     -0.014421713
           -0.131           -1.179           -1.703        0.8872245        0.0812141      -0.11405082    0.00097475282      -0.17531933    -0.0050462564
